date,description,amount,type,payment_mode
2025-07-08,Stock,17370,credit,UPI
2025-05-02,Mutual Fund,12934,debit,UPI
2025-04-04,Flipkart,3913,debit,UPI
2025-05-31,Ola,1436,debit,UPI
2025-04-26,Electricity,16450,debit,UPI
2025-07-31,Ola,18572,debit,UPI
2025-03-15,Zomato,5383,debit,UPI
2025-04-09,Water,17761,debit,UPI
2025-06-29,Spotify,19261,debit,UPI
2025-02-08,Zomato,5898,debit,UPI
2025-08-16,Ola,16895,debit,UPI
2025-02-07,Uber,13526,debit,UPI
2025-03-26,Prime,17360,debit,UPI
2025-06-05,Stock,8197,credit,UPI
2025-07-17,Uber,10462,debit,UPI
2025-03-09,Electricity,13426,debit,UPI
2025-02-28,Netflix,16758,debit,UPI
2025-08-16,Stock,8511,debit,UPI
2025-09-05,Water,17609,debit,UPI
2025-01-18,Prime,18753,debit,UPI
2025-02-10,Spotify,665,debit,UPI
2025-04-26,Water,15088,debit,UPI
2025-01-16,Swiggy,7514,debit,UPI
2025-02-20,Mutual Fund,14459,debit,UPI
2025-02-05,Zomato,2946,debit,UPI
2025-08-21,Mutual Fund,12085,credit,UPI
2025-01-29,Ola,311,debit,UPI
2025-08-23,Stock,522,debit,UPI
2025-09-02,House Rent,10161,debit,UPI
2025-01-31,Mutual Fund,9597,debit,UPI
2025-03-10,Movie,18915,debit,UPI
2025-03-18,House Rent,18196,debit,UPI
2025-03-21,Movie,8905,debit,UPI
2025-03-03,Netflix,3436,debit,UPI
2025-05-12,Uber,13419,debit,UPI
2025-06-20,Movie,19441,debit,UPI
2025-03-09,Zomato,2396,debit,UPI
2025-02-12,Movie,12837,debit,UPI
2025-05-19,Uber,14255,debit,UPI
2025-03-02,Mutual Fund,10773,debit,UPI
2025-07-30,Flipkart,17452,debit,UPI
2025-05-29,Water,18553,debit,UPI
2025-07-04,Prime,15754,debit,UPI
2025-05-17,Stock,2407,debit,UPI
2025-04-25,Prime,645,debit,UPI
2025-05-08,Mutual Fund,9913,debit,UPI
2025-02-02,Netflix,2184,debit,UPI
2025-03-13,Flipkart,17648,debit,UPI
2025-08-02,House Rent,13659,debit,UPI
2025-01-23,House Rent,11404,debit,UPI
2025-01-31,House Rent,4322,debit,UPI
2025-01-22,Ola,7149,debit,UPI
2025-08-15,Ola,8246,debit,UPI
2025-02-27,Zomato,15818,debit,UPI
2025-07-27,Swiggy,19095,debit,UPI
2025-07-29,Stock,8201,debit,UPI
2025-08-04,House Rent,13532,debit,UPI
2025-04-18,Stock,9818,debit,UPI
2025-05-15,Uber,14476,debit,UPI
2025-01-02,House Rent,13653,debit,UPI
2025-03-25,Swiggy,17738,debit,UPI
2025-09-05,Netflix,7756,debit,UPI
2025-01-17,Spotify,2246,debit,UPI
2025-08-02,Water,15316,debit,UPI
2025-09-08,Electricity,2011,debit,UPI
2025-04-27,Netflix,9001,debit,UPI
2025-03-07,Flipkart,17628,debit,UPI
2025-03-02,House Rent,3580,debit,UPI
2025-06-17,Uber,1412,debit,UPI
2025-08-29,Ola,16325,debit,UPI
2025-07-07,Amazon,13170,debit,UPI
2025-02-28,Flipkart,11695,debit,UPI
2025-02-01,Swiggy,2946,debit,UPI
2025-08-13,Flipkart,5723,debit,UPI
2025-01-06,Water,7808,debit,UPI
2025-07-09,Netflix,17926,debit,UPI
2025-03-08,Electricity,15323,debit,UPI
2025-04-17,Flipkart,3120,debit,UPI
2025-07-01,House Rent,2645,debit,UPI
2025-05-22,Prime,14278,debit,UPI
2025-06-14,House Rent,8947,debit,UPI
2025-07-06,Flipkart,1311,debit,UPI
2025-09-08,Swiggy,6787,debit,UPI
2025-05-22,Flipkart,6529,debit,UPI
2025-06-24,Mutual Fund,12178,debit,UPI
2025-02-28,Movie,12193,debit,UPI
2025-08-17,House Rent,5875,debit,UPI
2025-01-29,Spotify,8696,debit,UPI
2025-03-29,Movie,9634,debit,UPI
2025-04-28,House Rent,2892,debit,UPI
2025-08-08,Uber,16519,debit,UPI
2025-06-10,Movie,12262,debit,UPI
2025-08-21,Water,15285,debit,UPI
2025-01-06,Game,6206,debit,UPI
2025-02-04,Electricity,4878,debit,UPI
2025-08-16,House Rent,18628,debit,UPI
2025-02-14,Game,16063,debit,UPI
2025-03-25,Game,4101,debit,UPI
2025-01-06,Netflix,8142,debit,UPI
2025-02-06,Flipkart,7701,debit,UPI
2025-06-12,Uber,983,debit,UPI
2025-01-25,Game,4578,debit,UPI
2025-03-18,Movie,7555,debit,UPI
2025-04-15,House Rent,8439,debit,UPI
2025-02-02,House Rent,11426,debit,UPI
2025-05-10,Electricity,3122,debit,UPI
2025-07-19,Mutual Fund,6659,credit,UPI
2025-06-07,Electricity,17658,debit,UPI
2025-04-18,Electricity,8743,debit,UPI
2025-01-17,Flipkart,2383,debit,UPI
2025-03-13,Zomato,16648,debit,UPI
2025-08-09,Mutual Fund,3128,credit,UPI
2025-08-23,House Rent,16656,debit,UPI
2025-08-11,Stock,6873,debit,UPI
2025-04-28,Prime,18975,debit,UPI
2025-03-29,Electricity,2734,debit,UPI
2025-07-15,Electricity,212,debit,UPI
2025-08-08,Zomato,5797,debit,UPI
2025-05-15,Prime,2739,debit,UPI
2025-06-29,Uber,16037,debit,UPI
2025-09-07,Electricity,18437,debit,UPI
2025-03-15,Zomato,1703,debit,UPI
2025-02-08,Amazon,2670,debit,UPI
2025-07-17,Flipkart,11101,debit,UPI
2025-07-04,Spotify,9121,debit,UPI
2025-01-02,Spotify,4018,debit,UPI
2025-04-04,Ola,3464,debit,UPI
2025-02-05,Swiggy,7273,debit,UPI
2025-03-31,Electricity,6819,debit,UPI
2025-07-02,Flipkart,11125,debit,UPI
2025-04-06,Game,12970,debit,UPI
2025-05-24,Water,3906,debit,UPI
2025-03-10,Swiggy,5098,debit,UPI
2025-01-13,Uber,17361,debit,UPI
2025-07-16,Electricity,3588,debit,UPI
2025-01-24,Uber,6379,debit,UPI
2025-01-28,House Rent,14976,debit,UPI
2025-05-17,Stock,17443,debit,UPI
2025-07-08,Netflix,8567,debit,UPI
2025-03-04,Flipkart,18546,debit,UPI
2025-09-02,Ola,17846,debit,UPI
2025-04-03,House Rent,9206,debit,UPI
2025-01-01,Ola,9881,debit,UPI
2025-01-08,Flipkart,4842,debit,UPI
2025-06-14,Ola,19281,debit,UPI
2025-07-16,Flipkart,10796,debit,UPI
2025-06-24,Water,8927,debit,UPI
2025-07-20,Swiggy,17666,debit,UPI
2025-08-11,Electricity,19986,debit,UPI
2025-03-12,Mutual Fund,17690,credit,UPI
2025-01-15,Game,16708,debit,UPI
2025-08-31,Mutual Fund,2279,credit,UPI
2025-03-22,Mutual Fund,18474,credit,UPI
2025-09-02,Mutual Fund,11315,debit,UPI
2025-03-19,Netflix,2508,debit,UPI
2025-06-12,House Rent,9957,debit,UPI
2025-04-09,House Rent,1551,debit,UPI
2025-01-03,Uber,7918,debit,UPI
2025-04-02,Amazon,11447,debit,UPI
2025-06-05,Stock,17878,debit,UPI
2025-01-23,Ola,16887,debit,UPI
2025-03-20,Ola,19912,debit,UPI
2025-01-29,Electricity,6795,debit,UPI
2025-01-17,Movie,19377,debit,UPI
2025-09-06,Flipkart,6338,debit,UPI
2025-01-27,Amazon,6937,debit,UPI
2025-03-24,Flipkart,9891,debit,UPI
2025-07-17,House Rent,3778,debit,UPI
2025-04-27,Swiggy,5058,debit,UPI
2025-06-08,Uber,8538,debit,UPI
2025-06-02,Movie,10872,debit,UPI
2025-08-27,Ola,6575,debit,UPI
2025-07-09,Water,15570,debit,UPI
2025-06-02,Netflix,1153,debit,UPI
2025-09-01,Zomato,17899,debit,UPI
2025-05-16,Zomato,5756,debit,UPI
2025-03-13,Flipkart,188,debit,UPI
2025-05-14,Flipkart,18531,debit,UPI
2025-02-18,Spotify,9107,debit,UPI
2025-02-01,Ola,10947,debit,UPI
2025-07-25,Electricity,6707,debit,UPI
2025-09-07,Electricity,19662,debit,UPI
2025-06-13,Game,19945,debit,UPI
2025-02-09,Stock,19677,debit,UPI
2025-07-08,Uber,1063,debit,UPI
2025-03-22,Movie,3268,debit,UPI
2025-07-02,Netflix,12825,debit,UPI
2025-07-26,Ola,19424,debit,UPI
2025-03-31,Zomato,19011,debit,UPI
2025-07-30,Electricity,7223,debit,UPI
2025-06-30,Movie,18492,debit,UPI
2025-04-15,Water,13847,debit,UPI
2025-08-04,Prime,9467,debit,UPI
2025-01-18,Amazon,10071,debit,UPI
2025-08-05,Ola,6737,debit,UPI
2025-05-09,Ola,9555,debit,UPI
2025-01-21,House Rent,16466,debit,UPI
2025-02-12,Stock,7866,credit,UPI
2025-05-17,Mutual Fund,8565,debit,UPI
2025-07-25,Stock,7559,credit,UPI
2025-08-24,Swiggy,4297,debit,UPI
2025-01-26,Uber,6877,debit,UPI
2025-06-18,Amazon,7394,debit,UPI
2025-04-16,Amazon,1907,debit,UPI
2025-03-22,Stock,19008,debit,UPI
2025-01-09,Netflix,9546,debit,UPI
2025-03-03,Uber,18127,debit,UPI
2025-02-04,Mutual Fund,17135,debit,UPI
2025-01-31,Movie,18598,debit,UPI
2025-01-26,Game,18293,debit,UPI
2025-03-05,Water,8620,debit,UPI
2025-08-30,Ola,13954,debit,UPI
2025-03-25,Electricity,14215,debit,UPI
2025-07-03,Ola,16217,debit,UPI
2025-03-08,Electricity,487,debit,UPI
2025-01-14,Spotify,15523,debit,UPI
2025-04-13,Prime,1221,debit,UPI
2025-06-17,Netflix,4323,debit,UPI
2025-08-15,Zomato,4235,debit,UPI
2025-08-18,House Rent,5685,debit,UPI
2025-08-12,Mutual Fund,7681,credit,UPI
2025-03-14,Zomato,2186,debit,UPI
2025-04-07,Game,7324,debit,UPI
2025-05-11,Netflix,18278,debit,UPI
2025-04-19,Spotify,929,debit,UPI
2025-08-22,Swiggy,14975,debit,UPI
2025-05-27,Spotify,17410,debit,UPI
2025-03-04,Amazon,6996,debit,UPI
2025-08-02,Electricity,13236,debit,UPI
2025-08-02,Swiggy,9078,debit,UPI
2025-02-14,Uber,12812,debit,UPI
2025-07-19,Zomato,594,debit,UPI
2025-06-25,Prime,17272,debit,UPI
2025-06-04,Amazon,7984,debit,UPI
2025-05-29,Uber,6874,debit,UPI
2025-02-02,Movie,19225,debit,UPI
2025-02-24,Swiggy,13327,debit,UPI
2025-01-23,Uber,16124,debit,UPI
2025-03-01,Electricity,11229,debit,UPI
2025-04-10,House Rent,16596,debit,UPI
2025-03-17,Flipkart,6662,debit,UPI
2025-07-14,Flipkart,4313,debit,UPI
2025-07-11,Ola,8022,debit,UPI
2025-06-12,Amazon,4047,debit,UPI
2025-07-30,Mutual Fund,19186,credit,UPI
2025-04-14,Prime,13589,debit,UPI
2025-04-25,Amazon,5396,debit,UPI
2025-03-02,Prime,15138,debit,UPI
2025-08-24,Zomato,2737,debit,UPI
2025-01-19,Prime,18428,debit,UPI
2025-01-29,Water,11893,debit,UPI
2025-01-24,Electricity,18752,debit,UPI
2025-04-11,Zomato,8275,debit,UPI
2025-05-25,House Rent,17299,debit,UPI
2025-05-14,House Rent,15866,debit,UPI
2025-06-15,Swiggy,6093,debit,UPI
